company_name,writer,tweet_total,comment_total,retweet_total,like_num,reaction_total
Amazon.com,raviromo,199,17.0,36.0,74.0,127.0
Amazon.com,wavegenius,189,2.0,10.0,20.0,32.0
Amazon.com,petertrader99,187,350.0,60.0,1350.0,1760.0
Amazon.com,asymmetricalpha,183,247.0,76.0,1041.0,1364.0
Amazon.com,stockmktgenius,183,1.0,0.0,28.0,29.0
Amazon.com,nickfranciscoo,182,73.0,13.0,52.0,138.0
Amazon.com,sell_that_optio,182,6.0,7.0,27.0,40.0
Amazon.com,sethcl,180,48.0,130.0,657.0,835.0
Amazon.com,seyedoption,180,86.0,26.0,258.0,370.0
Amazon.com,whatsonthorold2,178,0.0,0.0,1.0,1.0
Amazon.com,mikes_charts,176,125.0,60.0,533.0,718.0
Amazon.com,mdtrades12,175,138.0,48.0,601.0,787.0
Amazon.com,options,174,7.0,31.0,81.0,119.0
Amazon.com,roberee,173,32.0,27.0,51.0,110.0
Amazon.com,americanbanking,172,1.0,5.0,6.0,12.0
Amazon.com,misselllly,171,23.0,22.0,99.0,144.0
Amazon.com,manictrading,167,70.0,37.0,441.0,548.0
Amazon.com,saar_eldar,165,6.0,28.0,42.0,76.0
Amazon.com,tickeron,165,3.0,12.0,23.0,38.0
Amazon.com,apppro1,163,53.0,27.0,80.0,160.0
Amazon.com,marketedgepro,163,1.0,28.0,47.0,76.0
Amazon.com,optioncharts,163,2.0,4.0,14.0,20.0
Amazon.com,ro_patel,163,5.0,15.0,54.0,74.0
Amazon.com,towelietrades,163,5.0,8.0,21.0,34.0
Amazon.com,investidea1,160,6.0,39.0,43.0,88.0
Amazon.com,fusionptcapital,159,295.0,257.0,1529.0,2081.0
Amazon.com,justinpulitzer,158,189.0,144.0,893.0,1226.0
Amazon.com,madmraket,158,26.0,42.0,175.0,243.0
Amazon.com,portfoliobuzz,156,0.0,2.0,3.0,5.0
Amazon.com,kingmidasau1,155,11.0,398.0,806.0,1215.0
Amazon.com,pipstodollars,154,107.0,195.0,698.0,1000.0
Amazon.com,tradingwizard1,154,55.0,59.0,50.0,164.0
Amazon.com,tradingguru,153,11.0,29.0,66.0,106.0
Amazon.com,psk2329,152,89.0,146.0,720.0,955.0
Amazon.com,thestreet,152,159.0,444.0,1163.0,1766.0
Amazon.com,llyrx,151,6.0,26.0,197.0,229.0
Amazon.com,wsbconsensus,151,25.0,47.0,87.0,159.0
Amazon.com,stock_market_pr,150,0.0,24.0,16.0,40.0
Amazon.com,myquikfo,149,5.0,32.0,37.0,74.0
Amazon.com,vonklein300,149,23.0,57.0,194.0,274.0
Amazon.com,michaelmottcm,148,44.0,42.0,177.0,263.0
Amazon.com,seekingalpha,148,9.0,90.0,164.0,263.0
Amazon.com,msectors,147,10.0,57.0,110.0,177.0
Amazon.com,15minofpham,146,6.0,42.0,108.0,156.0
Amazon.com,ideasprime,146,2.0,5.0,19.0,26.0
Amazon.com,trader_blitz,146,8.0,2.0,26.0,36.0
Amazon.com,accessatrader,145,15.0,77.0,151.0,243.0
Amazon.com,investorplace,144,8.0,26.0,38.0,72.0
