writer,tweet_total,comment_total,retweet_total,like_total,reaction_total
j_p_jacques,532,342,433,1950,2725
dapstats,781,550,248,1909,2707
shareplanner,1531,98,1754,789,2641
themicrx,1119,324,110,2165,2599
itradevol,1289,126,748,1713,2587
g_schelle,481,358,221,1998,2577
teslacito,756,280,314,1970,2564
teresatrades,1319,135,358,2045,2538
wickedsplits,10125,247,1485,774,2506
mdtrades12,493,411,180,1904,2495
jessecoheninv,416,160,718,1569,2447
classicoptions,431,94,281,2025,2400
realmoney,399,140,816,1438,2394
jctb1,752,78,820,1484,2382
elliottforecast,3700,92,1045,1237,2374
swatresearch,529,330,310,1660,2300
ericdavis221,2048,1763,47,478,2288
theburdettelawf,4480,576,148,1520,2244
freetrades4u,1963,112,184,1923,2219
exactoptionpick,16619,152,94,1947,2193
chris_stearns,689,637,111,1391,2139
filmprofessor9,874,567,190,1364,2121
madmraket,1582,209,299,1605,2113
ventmixologist,475,225,261,1619,2105
seekingalpha,1093,118,638,1344,2100
kaffeedosenfil1,394,298,199,1584,2081
yeomen23,498,356,109,1586,2051
aaronklein10x,528,526,472,1046,2044
mrr17941987,726,240,171,1592,2003
quanttradr,1975,583,271,1054,1908
dburkland,422,198,186,1473,1857
rtgt_guinness,1181,195,191,1459,1845
jurabilis,501,253,125,1408,1786
mikes_charts,464,272,182,1326,1780
tickwatchermf,2034,131,353,1293,1777
dathandsomejerk,580,231,257,1273,1761
cheddarflow,486,113,368,1265,1746
naashonomics,3924,173,629,919,1721
titoelbandito,413,205,84,1409,1698
